gbifID;countryCode;locality;stateProvince;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;eventDate;year;month;day;rightsHolder
4606894492;PE;;Madre de Dios;1;-12.864648;-69.322864;31057;2024-03-16T16:49;2024;3;16;Brandon Ortiz Arenas
4606778518;BZ;;Cayo;1;17.030636;-88.473386;30764;2023-12-19T11:14;2023;12;19;Jason Headley
4606760116;CO;;Putumayo;1;0.954933;-76.731715;31449;2024-03-04T05:11;2024;3;4;Savimbo
4605001302;CO;La cristalina;Meta;2;4.20692;-71.489232;71;9/4/2022;2022;9;4;HOCOL S.A
4605000805;CO;La cristalina;Meta;2;4.20692;-71.489232;71;9/4/2022;2022;9;4;HOCOL S.A
4600192357;BR;;Mato Grosso;1;-17.377087;-56.956208;30748;7/4/2021;2021;7;4;MarcosHalemFelix
4600125347;CR;;Puntarenas;1;10.32483;-84.754684;31199;2024-03-05T17:27;2024;3;5;seth_beaudreault
4599992136;EC;;Orellana;1;-0.594386;-76.350623;31451;2022-08-18T07:55;2022;8;18;damienesquerre2
4599973338;CR;;Puntarenas;1;10.22839;-84.655167;31199;2024-01-25T07:16;2024;1;25;seth_beaudreault
4599900667;GT;;Petén;1;17.236288;-89.521629;30748;2024-03-19T04:55;2024;3;19;josebarrientos
4599885498;CR;;Heredia;1;10.26186;-84.084341;31199;2021-04-10T13:20:47;2021;4;10;zachtim77
4599848678;BR;;Mato Grosso;1;-17.389762;-56.64624;30748;8/6/2023;2023;8;6;MarcosHalemFelix
4599807449;AR;;Misiones;1;-25.7141;-54.454351;29936;2023-08-06T16:50;2023;8;6;Iván Eroles
4597603320;CO;;Putumayo;1;0.878836;-76.792165;31449;2024-03-06T08:18;2024;3;6;Savimbo
4597600578;BR;;Mato Grosso;1;-16.715376;-56.822523;30795;9/8/2023;2023;9;8;MarcosHalemFelix
4597461835;MX;;Campeche;1;18.102417;-91.871343;30683;2024-03-03T02:22;2024;3;3;momoroy
4597438142;PE;;Madre de Dios;1;-12.704654;-71.236389;31069;2024-02-10T10:33;2024;2;10;isabellamc
4597199697;BR;;Mato Grosso;1;-17.314044;-56.641633;30748;2021-08-17T08:09;2021;8;17;MarcosHalemFelix
4597092810;PE;;Madre de Dios;1;-12.933476;-69.353923;31057;2024-03-16T17:30:13;2024;3;16;jayphil
4596989089;PE;;Madre de Dios;1;-11.86545;-71.598829;31115;2024-02-14T08:32;2024;2;14;isabellamc
4596958020;BR;;Mato Grosso;1;-17.380746;-56.609567;30748;2021-10-17T15:58;2021;10;17;MarcosHalemFelix
4596934828;BR;;Mato Grosso;1;-17.374332;-56.675858;30748;2021-10-12T15:16;2021;10;12;MarcosHalemFelix
4596916241;BR;;Mato Grosso;1;-17.2557;-56.633028;30748;2024-02-28T17:20;2024;2;28;MarcosHalemFelix
4596903265;BR;;Mato Grosso;1;-17.229828;-56.6551;30748;2024-02-28T17:14;2024;2;28;MarcosHalemFelix
4596901262;BR;;Mato Grosso;1;-17.307809;-56.766599;30748;2024-03-01T11:32;2024;3;1;MarcosHalemFelix
4596816446;GT;;Petén;1;17.483313;-89.130816;30732;2023-10-25T14:59:45;2023;10;25;Kelin Guerra
4554435908;GF;;;1;4.46131;-52.51543;41172;3/7/2021;2021;3;7;
4536012323;CR;;Limón;1;10.556402;-83.449484;31189;2024-02-09T11:45;2024;2;9;cccrll
